Selected: Inglisce ending with 'ane'
=================================================================
LEN  MODERN ENGLISH             | INGLISCE                   | PART OF SPEECH
-----------------------------------------------------------------
7    lighten                    | lîhtene                    | v
7    listen                     | lissene                    | v
7    soften                     | soffene                    | v
7    warden                     | uardene                    | v
7    weaken                     | ueichene                    | v
7    worsen                     | uirsene                    | v
7    veteran                    | vetrene                    | m n
7    threaten                   | þretene                    | v
8    brighten                   | bryhtene                   | v
8    captain                    | capetan                   | v
8    christen                   | crissene                   | v
8    frighten                   | fryhtene                   | v
8    heighten                   | hoihtene                   | v
8    lengthen                   | lengþene                   | v
8    lighten                    | loihtene                   | v
8    moisten                    | moissene                   | v
8    sweeten                    | suietene                   | v
9    straighten                 | streitene                  | v
10   strengthen                 | strengþene                 | v
-----------------------------------------------------------------
67 entries
=================================================================
Selected: Modern English ending with 'ain'
=================================================================
LEN  MODERN ENGLISH             | INGLISCE                  
-----------------------------------------------------------------
4    gain                       | gaine                      
4    main                       | maign                      
4    pain                       | peine                      
4    rain                       | raine                      
4    vain                       | vân                        
4    wain                       | uaine                      
5    again                      | again                      
5    brain                      | braine                     
5    chain                      | c̃aine                      
5    drain                      | dreine                     
5    grain                      | grâne                      
5    plain                      | plaine                     
5    plain                      | plân                       
5    Spain                      | Spaine                     
5    stain                      | staine                     
5    train                      | traine                     
6    attain                     | attaine                    
6    detain                     | deteine                    
6    domain                     | domâne                     
6    obtain                     | obteine                    
6    ordain                     | ordeine                    
6    remain                     | remaine                    
6    remain                     | remaîns                    
6    retain                     | reteine                    
6    strain                     | straine                    
6    strain                     | stréine                    
7    abstain                    | absteine                   
7    bargain                    | bargane                    
7    captain                    | capetan                    
7    captain                    | capetane                   
7    certain                    | certan                     
7    contain                    | conteine                   
7    disdain                    | desdaine                   
7    engrain                    | engrâne                    
7    explain                    | explâne                    
7    pertain                    | perteine                   
7    refrain                    | refreine                   
7    sustain                    | sosteine                   
7    villain                    | villan                     
8    complain                   | complaine                  
8    fountain                   | fôntan                     
8    maintain                   | mainteine                  
8    restrain                   | restraine                  
9    ascertain                  | ascertâne                  
9    boatswain                  | boasain                    
9    chieftain                  | c̃eiftan                    
9    constrain                  | constraine                 
9    entertain                  | enterteine                 
9    porcelain                  | porcelan                   
9    uncertain                  | uncêrtan                   
10   overstrain                 | overstraine                
-----------------------------------------------------------------
51 entries
=================================================================
