                     
                                       
         
                                       
                     
                     commensurate               | commensurat 
commissariat               | commissâriat 
democrat                   | democrat 
degenerate                 | degenerat                  
designate                  | designat                   
desperate                  | desperat                   
determinate                | detêminat                  
diplomat                   | diplomat                   
doctorate                  | doctorat    
electorate                 | elèctorat
inaccurate                 | inaccurat                  
incorporate                | incórprat 
passionate                 | passionat
precipitate                | precïpitat
replicate                  | replicat                                                                                
technocrat                 | technocrat 
