File_Name	Modern_English	Reformed_Word	Conjugations	Part_of_Speech
town	town	tône,	tôns	masculine noun
thrive	thrive	þrîve	-s -d -ing	verb
trap	trap	trape,	traps	masculine noun
trap	trap	trape	-s -d -ing	verb
television	television	television	-s	masculine noun
thunder	thunder	þondre,	þondars	masculine noun
thunder	thunder	þonder	þondre(s þondred þondering	verb
thunder	thunderous	þondreus	-ly	adjective
tame	tame	tâme	-s -d -ing	verb
tame	tame	tâm		adjective
toum	toum	toume		masculine noun
tow	tow	tohe	-s -d -ing	verb
tow	tow	tohe,	tohs	masculine noun
toilet	toilet	toilet,	toilets	masculine noun
tape	tape	taipe		masculine noun
tape	tape	taipe	-s -d -ing	verb
tomorrow	tomorrow	tomòro		adverb, feminine noun
thank	thank	þainche	þainc(s -d -ing	verb
thank	thank	þainc	-s	masculine noun
thank	thankful	þaincful		adjective
thank	Thanksgiving	Ћaincsguiving		feminine noun
Tennessee	Tennessee	Tennessíe		feminine noun
Tennessee	Tennessean	tennessían	-s	adjective, feminine noun
tunnel	tunnel	tonele,	tonels	masculine noun
tunnel	tunnel	tonele	-s -d toneling	verb
tire	tire	tîore	-s -d -ing	verb
tire	tire	tîre,	tîars	feminine noun
trump	trump	trompe	-s -d -ing	verb
trump	trumpet	trompet	-s	masculine noun
tun	tun	tonne,	tons	masculine noun
trick	trick	tric,	trix	masculine noun
trick	trick	triche	tric(s -d -ing	verb
trick	tricky	trichy		adjective
trick	trickery	tricherie,	tricheris	masculine noun
temple	temple	temple,	tempuls	masculine noun
temple	temple	temple,	tempuls	masculine noun
temple	Templar	Templar	-s	masculine noun
tree	tree	trie,	trís	masculine noun
tree	tree	trie	-s -d trying	verb
tobacco	tobacco	tabàco		feminine noun
terminate	terminate	têrminait	-s -ed -ing	verb
terminate	termination	terminâcion	-s	feminine noun
terminate	terminator	terminaitor	-s	masculine noun
terminate	terminal	têrminal	-s	adjective, masculine noun
terminate	terminable	têrminable		adjective
terminate	terminus	terminus		masculine noun
taser	taser	tâsor	-s	masculine noun
taser	taze	tâse	-s -d -ing	verb
together	together	togaiþre		adjective, adverb
together	altogether	altogaiþre		adjective, adverb
thumb	thumb	þome,	þoms	masculine noun
thumb	thumb	þome	-s -d -ing	verb
teach	teacher	tiec̃eur	-s	masculine noun
teach	teachable	tiec̃able		adjective
teach	teachability	tiec̃abilatie	-is	feminine noun
thatch	thatch	þac̃e	-s	masculine noun
thatch	thatch	þac̃e	-s -d -ing	verb
turn	turn	tourne	-s -d -ing	verb
turn	turn	tourne,	tourns	masculine noun
treasure	treasure	treșure,	treșurs	masculine noun
treasure	treasure	treșure	-s -d -ing	verb
treasure	treasury	treșurie	-is	masculine noun
treasure	treasurer	treșuror	-s	masculine noun
thirst	thirst	þurste		masculine noun
thirst	thirst	þurste	-s -d -ing	verb
thirst	thirsty	þursty		adjective
tribe	tribe	trîbe,	trîbs	masculine noun
tribe	tribunal	tribúnal	-s	adjective, feminine noun
tribe	tribute	trïbute	-s	masculine noun
tribe	tribute	trïbute	-s -d -ing	verb
tribe	tributary	tributairy,	tributarie -is	adjective, masculine noun
trace	traceable	traiçable		adjective
trace	trace	traice	-s	masculine noun
trace	trace	traisse	-s	masculine noun
there	there	þere		adverb, conjunction
treachery	treachery	traic̃erie,	traic̃eris	masculine noun
treachery	treacherous	traic̃erus		adjective
track	track	trac,	trax	masculine noun
track	track	trache	trac(s -d -ing	verb
thigh	thigh	þyhe,	þyhs	masculine noun
tract	tract	tracte,	tracs	masculine noun
Turkiye	Turkiye	Turchía		feminine noun
Turkiye	Turkish	turchisce		adjective
towel	towel	tôale,	tôals	masculine noun
towel	towel	tôale	-s -d -ing	verb
trash	trash	trasce		masculine noun
trash	trash	trasce	-s -d -ing	verb
time	time	tîme,	tîms	adjective, masculine noun
time	time	tîme	-s -d -ing	verb
time	timely	tîmly		adjective, adverb
tomb	tomb	tume,	túms	masculine noun
tomb	tombstone	túmstone,	túmstoans	masculine noun
two	two	tue		num
two	twice	tuîce		adverb
tomato	tomato	tomâto	-s	feminine noun
tale	tale	tâle,	tâls	masculine noun
taoiseach	taoiseach	tíseac,	tíseax	masculine noun
travel	travel	travele	-s -d -ing	verb
travel	travel	travele,	travels	masculine noun
travel	traveler	traveleur	-s	masculine noun
travel	travelogue	travelogue,	travelogs	feminine noun
terror	terror	terror,	terrors	masculine noun
terror	terrorize	terroryse	-s -d -ing	verb
terror	terrorism	terrorism		masculine noun
terror	terrify	terrifae	-s -d terrifyhing	verb
think	think	þinche	þinc(s þoht -ing	verb
think	thought	þohte,	þohts	masculine noun
think	thinker	þincor	-s	masculine noun
think	thinkable	þincable		adjective
Texas	Texan	texan	-s	adjective, masculine noun
train	train	traine,	traîns	masculine noun
train	train	traigne	-s -d -ing	verb
timbre	timbre	tambre,	tambars	masculine noun
threat	threat	þrete,	þrets	masculine noun
tread	tread	trede,	treds	masculine noun
tissue	tissue	tisșue,	tisșuis	masculine noun
trail	trail	traile	-s -d -ing	verb
trail	trail	traile,	trails	masculine noun
table	tabele	tâble,	tâbuls	masculine noun
table	table	tâble	-s -d -ing	verb
table	tablet	tablet,	tablets	masculine noun
table	tabulate	tabulait	-s -ed -ing	verb
table	tabulation	tabulâcion	-s	feminine noun
table	tabulator	tabulaitor	-s	masculine noun
tear	tear	teire	-s tór torn teiring	verb
tear	tear	teire,	teirs	masculine noun
tear	tear	tiare	-s -d -ing	verb
tear	tear	tiare,	tiars	masculine noun
tear	teary	tiary		adjective
tear	tearful	tiarful	-ly -ness	adjective
tear	teardrop	tiardrop	-s	masculine noun
tear	tearjerker	tiarjercor	-s	masculine noun
toucan	toucan	toucan,	toucans	masculine noun
Tuesday	Tuesday	Túsdaie,	Túsdays	masculine noun
though	though	þó		adverb, conjunction
take	take	tâche,	tâc(s tôc tâcan tâching	verb
take	take	tâc,	taix	masculine noun
take	takeaway	tâcaüaie,	tâcaüays	adjective, masculine noun
take	takeout	tâcaut	-s	adjective, masculine noun
the	the	þe,	þa, þi	defin
torture	torture	torțure		masculine noun
torture	torture	torțure	-s -d -ing	verb
transmit	transmit	transmitte	-s -d -ing	verb
transmit	transmission	transmission	-s	feminine noun
transmit	transmissive	transmissif		adjective
transmit	transmissible	transmissible		adjective
transmit	transmittal	transmittal	-s	feminine noun
transmit	transmittance	transmittance		feminine noun
theology	theist	þyist	-s	masculine noun
theology	theistic	þyistic	-ly	adjective
theology	theism	þyism	-s	masculine noun
theology	theology	þiollogie	-is	feminine noun
theology	theological	þiollogical		adjective
theology	theologian	þiológian	-s	feminine noun
tier	tier	tiere,	tiers	masculine noun
tier	tier	tiere	-s -d -ing	verb
treat	treat	triete	-s -d -ing	verb
treat	treat	triete,	triets	masculine noun
treat	treaty	trietie,	trietis	masculine noun
treat	treatise	trietace	-s	masculine noun
treat	treatment	trietement	-s	masculine noun
taste	taste	tâste	-s -d -ing	verb
taste	taste	tâste,	tâsts	masculine noun
top	top	toppe,	tops	masculine noun
top	top	toppe	top(s -d -ing	verb
Tabasco	Tabasco	Tabàsco		feminine noun, adjective
thief	thief	þife,	þífs	masculine noun
thief	thieve	þive	-s -d -ing	verb
thief	thievery	þívrie	-is	masculine noun
thief	theft	þefte,	þefts	masculine noun
treason	treason	tríson,	trihson -s	masculine noun
treason	treasonous	trísonus,	trihsonus -ly	adjective
treason	treasonable	trísonable,	trihsonable	adjective
tower	tower	tôure,	tôuirs	masculine noun
tower	tower	tôuir	tôure(s tôured tôuiring	verb
torpedo	torpedo	torpído	-s	feminine noun
torpedo	torpedo	torpídoe	-s -d -ouing	verb
trust	trust	treuste,	treusts	masculine noun
trust	trust	treuste	-s -d -ing	verb
tech	technology	technologie	-is	feminine noun
tech	technological	technological		adjective
tech	technologically	technologicly		adverb
tech	technologist	technologist	-s	feminine noun
tech	techie	techie,	techis	masculine noun
tech	technic	technic		adjective
tech	technique	technique,	technícs	feminine noun
tech	technical	technical		adjective
tech	tecnically	technicly		adverb
tech	technicality	technicaletie	-is	feminine noun
tech	technician	technician	-s	feminine noun
tech	technocracy	technocracie	-is	feminine noun
tech	technocrat	technocrat,	technocrats	masculine noun
tech	technocratic	technocratic	-ly	adjective
Thursday	Thursday	Ћursdaie,	Ћursdays	masculine noun
theory	theory	þiorie,	þioris	masculine noun
theory	theorize	þioryse	-s -d -ing	verb
theory	theorist	þiorist	-s	masculine noun
theory	theoretical	þioretical		adjective
team	teme	tieme,	tiems	masculine noun
team	team	tieme	-s -d -ing	verb
turkey	turkey	turquie,	turquis	masculine noun
trite	trite	trît		adjective
through	through	þru		preposition
thyme	thyme	tŷme		masculine noun
troll	troll	trole,	troals	masculine noun
troll	troll	trole	-s -d -ing	verb
trouble	trouble	troble,	trobils	masculine noun
trouble	trouble	troble	-s -d -ing	verb
tray	tray	treie,	treys	masculine noun
toil	toil	touile	-s -d -ing	verb
toil	toil	touile,	toyels	masculine noun
throw	throw	þroe	-s þreu þreon þrouing	verb
throw	throw	þroe,	þros	masculine noun
throw	throwaway	þróauay	-s	adjective, masculine noun
throw	throwback	þróbac	-s	masculine noun
throw	overthrow	ovreþroe	-s ovreþreu ovreþreon ovreþrouing	verb
timber	timber	timbre,	timbars	masculine noun
timber	timber	timber	timbre(s timbred timbering	verb
tool	tool	toule,	touls	masculine noun
tool	tool	toule	-s -d -ing	verb
troop	troop	troupe,	troups	masculine noun
troop	troop	troupe	-s -d -ing	verb
trade	trade	trâde,	trâds	masculine noun
trade	trade	trâde	-s -d -ing	verb
trade	trader	trâdeur	-s	masculine noun
tickle	tickle	tichle	-s -d -ing	verb
tickle	ticklish	tichlisce		adjective
touch	touch	touc̃e	-s -d -ing	verb
touch	touch	touc̃e	-s	masculine noun
thread	thread	þrede,	þreds	masculine noun
thread	thread	þrede	-s -d -ing	verb
trait	trait	trâte,	trâts	masculine noun
thick	thick	þic	-ar -hest	adjective
thick	thicken	þicane	-s -d -ing	verb
thick	thickener	þicanor	-s	masculine noun
tall	tall	tall	-ar -est	adjective
temper	temper	temper	tempre(s tempred tempering	verb
temper	temper	tempre,	tempars	masculine noun
trek	trek	trec,	trex	masculine noun
trek	trek	treche	trec(s -d -ing	verb
tuck	tuck	tuche	tuc(s -d -ing	verb
theater	theater	þiatre,	þiaters	masculine noun
theater	theatrical	þiatrical		adjective
tail	tail	taile,	tails	masculine noun
tank	tank	tânque,	tâncs	masculine noun
tank	tank	tânque	tânc(s -d -ing	verb
towards	towards	tord,	tords	preposition
tortoise	tortoise	tortace	-s	masculine noun
toe	toe	toe,	tos	masculine noun
toe	toe	toe	-s -d touing	verb
turquoise	turquoise	turcoiz		masculine noun, adjective
tour	tour	toure,	tours	masculine noun
tour	tour	toure	-s -d -ing	verb
tiger	tiger	tîgre,	tîgars	masculine noun
translate	translate	translait	-s -ed -ing	verb
translate	translation	translâcion	-s	feminine noun
translate	translator	translaitor	-s	masculine noun
too	too	tou		adverb
tough	tough	tofh	-ar -est	adjective
tough	toughen	tofane	-s -d -ing	verb
tornado	tornado	tornâdo	-s	feminine noun
truck	truck	treuc,	treux	masculine noun
truck	truck	treuche	treuc(s treuched treuching	verb
try	try	trîe	-s -d tryhing	verb
try	try	trîe,	trîs	masculine noun
try	trial	trîale,	trîals	masculine noun
try	trial	trîale	-s -d -ing	verb
telephone	telephone	telephone,	telephons	masculine noun
telephone	telephone	telephone	-s -d -ing	verb
telephone	telephonic	telephonic		adjective
telephone	telephony	telephonie		masculine noun
thrush	thrush	þrosce	-s	masculine noun
thrush	thrush	þrosce		masculine noun
trauma	trauma	tráma	-s	masculine noun
trauma	traumatic	tramatic	-ly	adjective
trauma	traumatize	trámatyse	-s -d -ing	verb
tense	tense	tense	-ar -st	adjective
tense	tense	tense	-s -d -ing	verb
tense	tension	tension	-s	masculine noun
tense	tensity	tensetie	-is	masculine noun
tense	tensile	tensil		adjective
tense	tense	tense	-s	masculine noun
thaw	thaw	þauhe	-s -d -ing	verb
tune	tune	toune,	touns	masculine noun
tune	tune	toune	-s -d -ing	verb
taint	taint	taignte	-s -d -ing	verb
taint	taint	taînte,	taînts	masculine noun
tone	tone	tone,	toans	masculine noun
tone	tone	tone	-s -d -ing	verb
true	truth	treuþ	-s	masculine noun
true	truthful	treuþful	-ly	adjective
true	true	treu	-ar -est	adjective
true	true	treue	-s -d -ing	verb
true	truly	treuly		adverb
thorough	thorough	þouro	-ly -ness	adjective
tyrant	tyrant	tŷrant	-s	masculine noun
tyrant	tyranny	tÿranie,	tÿranis	masculine noun
tyrant	tyrannous	tÿranus	-ly	adjective
tyrant	tyrannically	tyranical,	tyranicly	adjective, adverb
tyrant	tyrannize	tÿranyse	-s -d -ing	verb
throat	throat	þrote,	þroats	masculine noun
thing	thing	þingue,	þings	masculine noun
torch	torch	torc̃e	-s	masculine noun
torch	torch	torc̃e	-s -d -ing	verb
toast	toast	tóste	-s -d -ing	verb
toast	toast	tóste,	tósts	masculine noun
toll	toll	tole,	tóls	masculine noun
three	three	þrie		num, adjective
tell	tell	telle	-s tóld -ing	verb
tell	teller	tellor	-s	masculine noun
tell	telltale	telltâl		adjective, masculine noun
tie	tie	tîe	-s -d tyhing	verb
tie	tie	tîe,	tîs	masculine noun
tie	tight	tyht	-ar -est	adjective
tie	tight	tyhts		masculine noun
tome	tome	tome,	tóms	masculine noun
trudge	trudge	troge	-s -d -ing	verb
tarnish	tarnish	tarnișe	-s -d -ing	verb
tarnish	tarnish	tarnișe	-s	masculine noun
talk	talk	tauche	tauc(s -d -ing	verb
talk	talk	tauc,	taux	masculine noun
talk	talkative	taucatif	-vly -ness	adjective
tee	tee	teie,	teis	masculine noun
tee	tee	teie	-s -d teying	verb
type	type	tŷpe,	tŷps	masculine noun
type	type	tŷpe	-s -d -ing	verb
type	typical	tỳpical		adjective
type	typically	tỳpicly		adverb
triad	triad	trîad	-s	masculine noun
ton	ton	tonne,	tons	masculine noun
transit	transit	transit		masculine noun
transit	transit	transit	-s -ed -ing	verb
transit	transitive	transitif		adjective
transit	transition	transicion	-s	feminine noun
transit	transitional	transicional		adjective
transit	transitory	transitory		adjective
transit	transient	transïent		adjective
this	this	þis		pronoun, adjective, masculine noun
this	that	þat		pronoun, adjective, adverb, masculine noun
this	these	þise		pronoun, adjective
this	those	þose		pronoun, adjective
tea	tea	tie,	tís	masculine noun
teem	teem	tieme	-s -d -ing	verb
trumpet	trumpet	trompet	-s	masculine noun
trombone	trombone	trombone,	trombóns	feminine noun
tooth	teeth	touþ,	tieþ	masculine noun
tooth	teethe	tieþe	-s -d -ing	verb
triumph	triumph	trîomph	-s	masculine noun
